username,date,time_in,time_out,time_break,is_home_office,created_at,daily_activity_attributes
mvadodaria,2023-12-05,09:00:00,17:00:00,01:00,No,2023-12-12 16:16:32.160,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-12 16:16:32.160000', 'time_spent': '07:00'}"
mvadodaria,2023-12-06,09:00:00,17:00:00,01:00,No,2023-12-12 16:17:08.448,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-12 16:17:08.448000', 'time_spent': '07:00'}"
mvadodaria,2023-12-08,09:00:00,14:00:00,,No,2023-12-12 16:17:34.368,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-12 16:17:34.368000', 'time_spent': '05:00'}"
mvadodaria,2023-12-11,09:00:00,18:00:00,01:00,No,2023-12-12 16:18:11.520,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-12 16:18:11.520000', 'time_spent': '08:00'}"
mvadodaria,2023-12-12,09:00:00,17:00:00,00:30,No,2023-12-12 16:30:45.792,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-12 16:30:45.792000', 'time_spent': '07:30'}"
abueb,2023-12-12,09:00:00,18:00:00,01:00,Yes,2023-12-12 16:58:40.224,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-12 16:58:40.224000', 'time_spent': '08:00'}"
jalmendrasvilla,2023-12-12,10:00:00,18:00:00,,No,2023-12-12 18:00:30.240,"{'project_name': 'DSE Quality', 'created_at': '2023-12-12 18:00:30.240000', 'time_spent': '08:00'}"
bsendziuk,2023-12-13,09:00:00,18:00:00,01:00,Yes,2023-12-13 10:04:48.000,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-13 10:04:48', 'time_spent': '08:00'}"
bsendziuk,2023-12-15,09:00:00,13:00:00,,Yes,2023-12-13 10:05:45.024,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-13 10:05:45.024000', 'time_spent': '04:00'}"
kokuyama,2023-12-12,13:00:00,17:15:00,00:00,Yes,2023-12-13 10:20:07.296,"{'project_name': 'IT', 'created_at': '2023-12-13 10:20:07.296000', 'time_spent': '04:15'}"
mshchelkunov,2023-12-12,10:00:00,14:00:00,,Yes,2023-12-13 11:35:45.888,"{'project_name': 'DSE Quality', 'created_at': '2023-12-13 11:35:45.888000', 'time_spent': '04:00'}"
idoebold,2023-12-13,09:00:00,12:00:00,,Yes,2023-12-13 12:08:23.712,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-13 12:08:23.712000', 'time_spent': '03:00'}"
